vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,can_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type,summarize_trials_used,summarize_trial_method,summarize_trials_output
"{""summarize_trials_used"": [44, 32], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 126}",11,2026-06-15 09:30:22,False,,,CustomNode,6,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,20.0,6.0,"{""vector"": [233, 143, 208], ""initial_index"": 2, ""active_index"": 2}","{""vector"": [233, 143, 208], ""initial_index"": 2, ""active_index"": 0}","{""target"": ""carrot""}",B,default,False,2,CustomNode,Node,"[44, 32]",mean,126.0
"{""summarize_trials_used"": [31, 46], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 122}",12,2026-06-15 09:30:22,False,,,CustomNode,4,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,17.0,4.0,"{""vector"": [216, 122, 122.5], ""initial_index"": 2, ""active_index"": 2}","{""vector"": [216, 122, 122.5], ""initial_index"": 2, ""active_index"": 0}","{""target"": ""rock""}",B,default,False,2,CustomNode,Node,"[31, 46]",mean,122.0
"{""summarize_trials_used"": [37, 50], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 181}",13,2026-06-15 09:30:24,False,,,CustomNode,5,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,22.0,5.0,"{""vector"": [135, 196.5, 38], ""initial_index"": 1, ""active_index"": 1}","{""vector"": [135, 196.5, 38], ""initial_index"": 1, ""active_index"": 2}","{""target"": ""carrot""}",A,default,False,2,CustomNode,Node,"[37, 50]",mean,181.0
"{""summarize_trials_used"": [39, 52], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 85}",14,2026-06-15 09:30:24,False,,,CustomNode,1,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,23.0,1.0,"{""vector"": [148, 124, 176], ""initial_index"": 1, ""active_index"": 1}","{""vector"": [148, 124, 176], ""initial_index"": 1, ""active_index"": 2}","{""target"": ""tree""}",A,default,False,2,CustomNode,Node,"[39, 52]",mean,85.0
"{""summarize_trials_used"": [36, 51], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 107}",15,2026-06-15 09:30:24,False,,,CustomNode,3,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,24.0,3.0,"{""vector"": [125, 207, 146], ""initial_index"": 1, ""active_index"": 1}","{""vector"": [125, 207, 146], ""initial_index"": 1, ""active_index"": 2}","{""target"": ""rock""}",A,default,False,2,CustomNode,Node,"[36, 51]",mean,107.0
"{""summarize_trials_used"": [38, 53], ""summarize_trial_method"": ""mean"", ""summarize_trials_output"": 78}",16,2026-06-15 09:30:24,False,,,CustomNode,7,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,1,2,True,21.0,7.0,"{""vector"": [205, 74.5, 146], ""initial_index"": 1, ""active_index"": 1}","{""vector"": [205, 74.5, 146], ""initial_index"": 1, ""active_index"": 2}","{""target"": ""banana""}",A,default,False,2,CustomNode,Node,"[38, 53]",mean,78.0
{},17,2026-06-15 09:30:30,False,,,CustomNode,4,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,12.0,"{""vector"": [122, 122, 122.5], ""initial_index"": 2, ""active_index"": 0}","{""vector"": [122, 122, 122.5], ""initial_index"": 2, ""active_index"": 1}","{""target"": ""rock""}",B,default,False,1,CustomNode,Node,,,
{},18,2026-06-15 09:30:30,False,,,CustomNode,8,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,10.0,"{""vector"": [25, 75.5, 92.5], ""initial_index"": 1, ""active_index"": 2}","{""vector"": [25, 75.5, 92.5], ""initial_index"": 1, ""active_index"": 0}","{""target"": ""banana""}",B,default,False,1,CustomNode,Node,,,
{},19,2026-06-15 09:30:30,False,,,CustomNode,2,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,9.0,"{""vector"": [105.5, 76, 188], ""initial_index"": 2, ""active_index"": 0}","{""vector"": [105.5, 76, 188], ""initial_index"": 2, ""active_index"": 1}","{""target"": ""tree""}",B,default,False,1,CustomNode,Node,,,
{},20,2026-06-15 09:30:30,False,,,CustomNode,6,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,11.0,"{""vector"": [126, 143, 208], ""initial_index"": 2, ""active_index"": 0}","{""vector"": [126, 143, 208], ""initial_index"": 2, ""active_index"": 1}","{""target"": ""carrot""}",B,default,False,1,CustomNode,Node,,,
{},21,2026-06-15 09:30:32,False,,,CustomNode,7,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,16.0,"{""vector"": [205, 74.5, 78], ""initial_index"": 1, ""active_index"": 2}","{""vector"": [205, 74.5, 78], ""initial_index"": 1, ""active_index"": 0}","{""target"": ""banana""}",A,default,False,1,CustomNode,Node,,,
{},22,2026-06-15 09:30:32,False,,,CustomNode,5,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,13.0,"{""vector"": [135, 196.5, 181], ""initial_index"": 1, ""active_index"": 2}","{""vector"": [135, 196.5, 181], ""initial_index"": 1, ""active_index"": 0}","{""target"": ""carrot""}",A,default,False,1,CustomNode,Node,,,
{},23,2026-06-15 09:30:32,False,,,CustomNode,1,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,14.0,"{""vector"": [148, 124, 85], ""initial_index"": 1, ""active_index"": 2}","{""vector"": [148, 124, 85], ""initial_index"": 1, ""active_index"": 0}","{""target"": ""tree""}",A,default,False,1,CustomNode,Node,,,
{},24,2026-06-15 09:30:32,False,,,CustomNode,3,,gibbs_demo,gibbs_demo,,,True,False,False,False,False,,2,2,True,,15.0,"{""vector"": [125, 207, 107], ""initial_index"": 1, ""active_index"": 2}","{""vector"": [125, 207, 107], ""initial_index"": 1, ""active_index"": 0}","{""target"": ""rock""}",A,default,False,1,CustomNode,Node,,,
