vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,metadata_,class,object_type
{},91,2026-06-15 20:42:58,False,,,Response,12,prediction_poem_lengths,99.6,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},92,2026-06-15 20:42:58,False,,,Response,12,prediction_movie_run_times,131.2,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},93,2026-06-15 20:42:58,False,,,Response,12,prediction_marriages,22.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},94,2026-06-15 20:42:58,False,,,Response,12,prediction_waiting_times,19.3,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},95,2026-06-15 20:42:59,False,,,Response,12,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},96,2026-06-15 20:42:59,False,,,Response,12,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},97,2026-06-15 20:42:59,False,,,Response,13,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},98,2026-06-15 20:42:59,False,,,Response,13,prediction_movie_run_times,94.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},99,2026-06-15 20:42:59,False,,,Response,13,prediction_waiting_times,9.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},100,2026-06-15 20:42:59,False,,,Response,13,prediction_marriages,17.9,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},101,2026-06-15 20:43:00,False,,,Response,13,prediction_poem_lengths,8.6,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},102,2026-06-15 20:43:00,False,,,Response,13,prediction_life_spans,75.6,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},103,2026-06-15 20:43:00,False,,,Response,13,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},104,2026-06-15 20:43:00,False,,,Response,13,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},105,2026-06-15 20:43:00,False,,,Response,14,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},106,2026-06-15 20:43:00,False,,,Response,14,prediction_poem_lengths,5.3,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},107,2026-06-15 20:43:00,False,,,Response,14,prediction_marriages,34.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},108,2026-06-15 20:43:01,False,,,Response,14,prediction_life_spans,82.6,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},109,2026-06-15 20:43:01,False,,,Response,14,prediction_waiting_times,27.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},110,2026-06-15 20:43:01,False,,,Response,14,prediction_movie_run_times,114.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},111,2026-06-15 20:43:01,False,,,Response,14,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},112,2026-06-15 20:43:01,False,,,Response,14,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},113,2026-06-15 20:43:01,False,,,Response,15,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},114,2026-06-15 20:43:02,False,,,Response,15,prediction_movie_run_times,109.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},115,2026-06-15 20:43:02,False,,,Response,15,prediction_life_spans,88.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},116,2026-06-15 20:43:02,False,,,Response,15,prediction_poem_lengths,51.5,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},117,2026-06-15 20:43:02,False,,,Response,15,prediction_waiting_times,46.4,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},118,2026-06-15 20:43:02,False,,,Response,15,prediction_marriages,18.4,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},119,2026-06-15 20:43:02,False,,,Response,15,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},120,2026-06-15 20:43:03,False,,,Response,15,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},121,2026-06-15 20:43:03,False,,,Response,16,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},122,2026-06-15 20:43:03,False,,,Response,16,prediction_movie_run_times,115.1,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},123,2026-06-15 20:43:03,False,,,Response,16,prediction_life_spans,96,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},124,2026-06-15 20:43:03,False,,,Response,16,prediction_poem_lengths,20.7,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},125,2026-06-15 20:43:03,False,,,Response,16,prediction_waiting_times,45.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},126,2026-06-15 20:43:04,False,,,Response,16,prediction_marriages,33.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},127,2026-06-15 20:43:04,False,,,Response,16,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},128,2026-06-15 20:43:04,False,,,Response,16,SuccessfulEndLogic,Finish,ModularPage,True,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},129,2026-06-15 20:43:04,False,,,Response,17,info,,InfoPage,True,"{""prompt"": {}, ""control"": {}, ""time_taken"": 10}",Response,_Response
{},130,2026-06-15 20:43:04,False,,,Response,17,prediction_life_spans,66.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},131,2026-06-15 20:43:04,False,,,Response,17,prediction_movie_run_times,135.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},132,2026-06-15 20:43:05,False,,,Response,17,prediction_marriages,21.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},133,2026-06-15 20:43:05,False,,,Response,17,prediction_waiting_times,8.0,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
{},134,2026-06-15 20:43:05,False,,,Response,17,prediction_poem_lengths,5.8,ModularPage,True,"{""time_taken"": 12, ""prompt"": {}, ""control"": {""width"": ""160px"", ""text_align"": ""right""}}",Response,_Response
