trial_id,participant_id,run_id,revision,profile,position,pair_id,condition,cue,target,semantic_lure,recent_lure,neutral_lure,answer,answer_role,correct,response_time_ms,prompt
initial-T0048,initial-P23,initial,initial,scripted_noisy,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,2983,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0049,initial-P31,initial,initial,mock_llm_memory_limited,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2099,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0050,initial-P31,initial,initial,mock_llm_memory_limited,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1773,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0051,initial-P31,initial,initial,mock_llm_memory_limited,3,L03,literal,library,book,paper,anchor,cactus,paper,semantic_lure,0,1843,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0052,initial-P31,initial,initial,mock_llm_memory_limited,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1892,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0053,initial-P31,initial,initial,mock_llm_memory_limited,5,I01,interference,garden,window,flower,spoon,violin,spoon,recent_lure,0,2130,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0054,initial-P31,initial,initial,mock_llm_memory_limited,6,I02,interference,school,pencil,teacher,window,river,window,recent_lure,0,2231,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0055,initial-P31,initial,initial,mock_llm_memory_limited,7,I03,interference,desert,cactus,sand,pencil,pillow,pencil,recent_lure,0,2112,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0056,initial-P31,initial,initial,mock_llm_memory_limited,8,I04,interference,market,basket,coin,cactus,cloud,cactus,recent_lure,0,2128,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0057,initial-P32,initial,initial,mock_llm_memory_limited,1,L01,literal,orchard,apple,pear,window,hammer,pear,semantic_lure,0,2018,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0058,initial-P32,initial,initial,mock_llm_memory_limited,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1902,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0059,initial-P32,initial,initial,mock_llm_memory_limited,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2014,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0060,initial-P32,initial,initial,mock_llm_memory_limited,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1820,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0061,initial-P32,initial,initial,mock_llm_memory_limited,5,I01,interference,garden,window,flower,spoon,violin,spoon,recent_lure,0,2324,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0062,initial-P32,initial,initial,mock_llm_memory_limited,6,I02,interference,school,pencil,teacher,window,river,window,recent_lure,0,2332,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0063,initial-P32,initial,initial,mock_llm_memory_limited,7,I03,interference,desert,cactus,sand,pencil,pillow,pencil,recent_lure,0,2262,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0064,initial-P32,initial,initial,mock_llm_memory_limited,8,I04,interference,market,basket,coin,cactus,cloud,cactus,recent_lure,0,2211,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0065,initial-P33,initial,initial,mock_llm_memory_limited,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2026,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0066,initial-P33,initial,initial,mock_llm_memory_limited,2,L02,literal,harbor,anchor,sail,apple,velvet,sail,semantic_lure,0,1881,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0067,initial-P33,initial,initial,mock_llm_memory_limited,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2015,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0068,initial-P33,initial,initial,mock_llm_memory_limited,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,2117,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0069,initial-P33,initial,initial,mock_llm_memory_limited,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,2118,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0070,initial-P33,initial,initial,mock_llm_memory_limited,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,2348,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0071,initial-P33,initial,initial,mock_llm_memory_limited,7,I03,interference,desert,cactus,sand,pencil,pillow,pencil,recent_lure,0,2073,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0072,initial-P33,initial,initial,mock_llm_memory_limited,8,I04,interference,market,basket,coin,cactus,cloud,cactus,recent_lure,0,2149,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0073,initial-P41,initial,initial,semantic_bias,1,L01,literal,orchard,apple,pear,window,hammer,pear,semantic_lure,0,1541,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0074,initial-P41,initial,initial,semantic_bias,2,L02,literal,harbor,anchor,sail,apple,velvet,sail,semantic_lure,0,1663,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0075,initial-P41,initial,initial,semantic_bias,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1506,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0076,initial-P41,initial,initial,semantic_bias,4,L04,literal,kitchen,spoon,fork,book,planet,fork,semantic_lure,0,1664,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0077,initial-P41,initial,initial,semantic_bias,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,2013,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0078,initial-P41,initial,initial,semantic_bias,6,I02,interference,school,pencil,teacher,window,river,teacher,semantic_lure,0,1986,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0079,initial-P41,initial,initial,semantic_bias,7,I03,interference,desert,cactus,sand,pencil,pillow,sand,semantic_lure,0,1968,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0080,initial-P41,initial,initial,semantic_bias,8,I04,interference,market,basket,coin,cactus,cloud,coin,semantic_lure,0,2030,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0081,initial-P42,initial,initial,semantic_bias,1,L01,literal,orchard,apple,pear,window,hammer,pear,semantic_lure,0,1639,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0082,initial-P42,initial,initial,semantic_bias,2,L02,literal,harbor,anchor,sail,apple,velvet,sail,semantic_lure,0,1507,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0083,initial-P42,initial,initial,semantic_bias,3,L03,literal,library,book,paper,anchor,cactus,paper,semantic_lure,0,1782,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0084,initial-P42,initial,initial,semantic_bias,4,L04,literal,kitchen,spoon,fork,book,planet,fork,semantic_lure,0,1687,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0085,initial-P42,initial,initial,semantic_bias,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,1709,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0086,initial-P42,initial,initial,semantic_bias,6,I02,interference,school,pencil,teacher,window,river,teacher,semantic_lure,0,1799,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0087,initial-P42,initial,initial,semantic_bias,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1830,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0088,initial-P42,initial,initial,semantic_bias,8,I04,interference,market,basket,coin,cactus,cloud,coin,semantic_lure,0,2079,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
initial-T0089,initial-P43,initial,initial,semantic_bias,1,L01,literal,orchard,apple,pear,window,hammer,pear,semantic_lure,0,1755,"Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
initial-T0090,initial-P43,initial,initial,semantic_bias,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1689,"Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
initial-T0091,initial-P43,initial,initial,semantic_bias,3,L03,literal,library,book,paper,anchor,cactus,paper,semantic_lure,0,1550,"Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
initial-T0092,initial-P43,initial,initial,semantic_bias,4,L04,literal,kitchen,spoon,fork,book,planet,fork,semantic_lure,0,1778,"Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
initial-T0093,initial-P43,initial,initial,semantic_bias,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,1848,"Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
initial-T0094,initial-P43,initial,initial,semantic_bias,6,I02,interference,school,pencil,teacher,window,river,teacher,semantic_lure,0,1899,"Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
initial-T0095,initial-P43,initial,initial,semantic_bias,7,I03,interference,desert,cactus,sand,pencil,pillow,sand,semantic_lure,0,1744,"Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
initial-T0096,initial-P43,initial,initial,semantic_bias,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1698,"Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
