vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,can_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},16,2026-06-15 20:42:37,False,,,TrialSource,16,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""poem_lengths"", ""t_past"": 2, ""unit"": ""lines""}",,default,poem_lengths,False,4,StaticNode,Node
{},17,2026-06-15 20:42:37,False,,,TrialSource,17,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""poem_lengths"", ""t_past"": 5, ""unit"": ""lines""}",,default,poem_lengths,False,3,StaticNode,Node
{},18,2026-06-15 20:42:37,False,,,TrialSource,18,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""poem_lengths"", ""t_past"": 12, ""unit"": ""lines""}",,default,poem_lengths,False,4,StaticNode,Node
{},19,2026-06-15 20:42:37,False,,,TrialSource,19,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""poem_lengths"", ""t_past"": 32, ""unit"": ""lines""}",,default,poem_lengths,False,3,StaticNode,Node
{},20,2026-06-15 20:42:37,False,,,TrialSource,20,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""poem_lengths"", ""t_past"": 67, ""unit"": ""lines""}",,default,poem_lengths,False,4,StaticNode,Node
{},21,2026-06-15 20:42:37,False,,,TrialSource,21,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""waiting_times"", ""t_past"": 1, ""unit"": ""minutes""}",,default,waiting_times,False,4,StaticNode,Node
{},22,2026-06-15 20:42:37,False,,,TrialSource,22,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""waiting_times"", ""t_past"": 3, ""unit"": ""minutes""}",,default,waiting_times,False,3,StaticNode,Node
{},23,2026-06-15 20:42:37,False,,,TrialSource,23,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""waiting_times"", ""t_past"": 7, ""unit"": ""minutes""}",,default,waiting_times,False,3,StaticNode,Node
{},24,2026-06-15 20:42:37,False,,,TrialSource,24,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""waiting_times"", ""t_past"": 11, ""unit"": ""minutes""}",,default,waiting_times,False,4,StaticNode,Node
{},25,2026-06-15 20:42:37,False,,,TrialSource,25,,everyday_predictions,everyday_predictions,,,True,False,False,False,False,,0,1000000,False,,,{},"{""category"": ""waiting_times"", ""t_past"": 23, ""unit"": ""minutes""}",,default,waiting_times,False,4,StaticNode,Node
