_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,animal,text_color,recording_hash,recording_object_key,recording_object_url
{},{},11,2026-06-14 14:31:18,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,AnimalTrial,2,2,,True,2,6,6,animals,"{""animal"": ""cats"", ""text_color"": ""blue"", ""recording_hash"": ""4948507d8bc17e75fcb9711a9c6cc3b64fcea09c"", ""recording_object_key"": ""streaming-static-trials/4948507d8bc17e75fcb9711a9c6cc3b64fcea09c.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/4948507d8bc17e75fcb9711a9c6cc3b64fcea09c.webm""}",True,False,1.0,0.01,,very_much,True,22,,,6.0,20.0,26.0,6.0,0.273972602739726,0.3561643835616438,False,False,False,False,1,B,AnimalTrial,Info,cats,blue,4948507d8bc17e75fcb9711a9c6cc3b64fcea09c,streaming-static-trials/4948507d8bc17e75fcb9711a9c6cc3b64fcea09c.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/4948507d8bc17e75fcb9711a9c6cc3b64fcea09c.webm
{},{},12,2026-06-14 14:31:18,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,AnimalTrial,5,5,,True,5,6,6,animals,"{""animal"": ""dogs"", ""text_color"": ""blue"", ""recording_hash"": ""35dc4098d4254d3971f2de565bcbaa5f15a5b4e8"", ""recording_object_key"": ""streaming-static-trials/35dc4098d4254d3971f2de565bcbaa5f15a5b4e8.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/35dc4098d4254d3971f2de565bcbaa5f15a5b4e8.webm""}",True,False,1.0,0.01,,a_little,True,23,,,6.0,26.0,32.0,6.0,0.3561643835616438,0.4383561643835616,False,False,False,False,1,B,AnimalTrial,Info,dogs,blue,35dc4098d4254d3971f2de565bcbaa5f15a5b4e8,streaming-static-trials/35dc4098d4254d3971f2de565bcbaa5f15a5b4e8.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/35dc4098d4254d3971f2de565bcbaa5f15a5b4e8.webm
{},{},13,2026-06-14 14:31:19,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,AnimalTrial,6,6,,True,6,6,6,animals,"{""animal"": ""dogs"", ""text_color"": ""blue"", ""recording_hash"": ""99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd"", ""recording_object_key"": ""streaming-static-trials/99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd.webm""}",True,False,1.0,0.01,,a_little,True,24,,,6.0,32.0,38.0,6.0,0.4383561643835616,0.5205479452054794,False,False,False,False,2,C,AnimalTrial,Info,dogs,blue,99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd,streaming-static-trials/99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd.webm
{},{},14,2026-06-14 14:31:19,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,AnimalTrial,12,12,,True,12,6,6,animals,"{""animal"": ""ponies"", ""text_color"": ""green"", ""recording_hash"": ""1b621c30173515f47690a757cd883842200f612d"", ""recording_object_key"": ""streaming-static-trials/1b621c30173515f47690a757cd883842200f612d.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/1b621c30173515f47690a757cd883842200f612d.webm""}",True,False,1.0,0.01,,a_little,True,25,,,6.0,38.0,44.0,6.0,0.5205479452054794,0.6027397260273972,False,False,False,False,2,C,AnimalTrial,Info,ponies,green,1b621c30173515f47690a757cd883842200f612d,streaming-static-trials/1b621c30173515f47690a757cd883842200f612d.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/1b621c30173515f47690a757cd883842200f612d.webm
,{},15,2026-06-14 14:31:19,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,AnimalTrial,1,1,,True,1,6,6,animals,"{""animal"": ""cats"", ""text_color"": ""blue"", ""recording_hash"": ""8a1a3fd3c471ea9161f3c76ab7212133a37f4097"", ""recording_object_key"": ""streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm""}",True,True,0.0,0.0,,not_at_all,False,27,0.0,3.0,6.0,44.0,50.0,6.0,0.6027397260273972,0.684931506849315,False,False,False,False,2,C,AnimalTrial,Info,cats,blue,8a1a3fd3c471ea9161f3c76ab7212133a37f4097,streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm
{},{},16,2026-06-14 14:31:19,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:20,AnimalTrial,11,11,,True,11,7,7,animals,"{""animal"": ""ponies"", ""text_color"": ""red"", ""recording_hash"": ""ad13fe406d9aefdcc34b5df6756d918360e42150"", ""recording_object_key"": ""streaming-static-trials/ad13fe406d9aefdcc34b5df6756d918360e42150.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/ad13fe406d9aefdcc34b5df6756d918360e42150.webm""}",True,False,0.0,0.0,,not_at_all,True,30,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,B,AnimalTrial,Info,ponies,red,ad13fe406d9aefdcc34b5df6756d918360e42150,streaming-static-trials/ad13fe406d9aefdcc34b5df6756d918360e42150.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/ad13fe406d9aefdcc34b5df6756d918360e42150.webm
{},{},17,2026-06-14 14:31:20,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:21,AnimalTrial,5,5,,True,5,8,8,animals,"{""animal"": ""dogs"", ""text_color"": ""blue"", ""recording_hash"": ""ea53bb544baabe8f6c29de83be2e7631bf7fd3f8"", ""recording_object_key"": ""streaming-static-trials/ea53bb544baabe8f6c29de83be2e7631bf7fd3f8.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/ea53bb544baabe8f6c29de83be2e7631bf7fd3f8.webm""}",True,False,1.0,0.01,,a_little,True,32,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,B,AnimalTrial,Info,dogs,blue,ea53bb544baabe8f6c29de83be2e7631bf7fd3f8,streaming-static-trials/ea53bb544baabe8f6c29de83be2e7631bf7fd3f8.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/ea53bb544baabe8f6c29de83be2e7631bf7fd3f8.webm
{},{},18,2026-06-14 14:31:20,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:21,AnimalTrial,11,11,,True,11,8,8,animals,"{""animal"": ""ponies"", ""text_color"": ""red"", ""recording_hash"": ""806387b2a212d891028ff82237573022ad3224ea"", ""recording_object_key"": ""streaming-static-trials/806387b2a212d891028ff82237573022ad3224ea.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/806387b2a212d891028ff82237573022ad3224ea.webm""}",True,False,1.0,0.01,,a_little,True,33,,,6.0,14.0,20.0,6.0,0.1917808219178082,0.273972602739726,False,False,False,False,0,B,AnimalTrial,Info,ponies,red,806387b2a212d891028ff82237573022ad3224ea,streaming-static-trials/806387b2a212d891028ff82237573022ad3224ea.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/806387b2a212d891028ff82237573022ad3224ea.webm
{},{},19,2026-06-14 14:31:20,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:21,AnimalTrial,10,10,,True,10,8,8,animals,"{""animal"": ""ponies"", ""text_color"": ""green"", ""recording_hash"": ""096fdb699e6521812d8db3a72ba51d362c16c389"", ""recording_object_key"": ""streaming-static-trials/096fdb699e6521812d8db3a72ba51d362c16c389.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/096fdb699e6521812d8db3a72ba51d362c16c389.webm""}",True,False,1.0,0.01,,very_much,True,34,,,6.0,20.0,26.0,6.0,0.273972602739726,0.3561643835616438,False,False,False,False,1,A,AnimalTrial,Info,ponies,green,096fdb699e6521812d8db3a72ba51d362c16c389,streaming-static-trials/096fdb699e6521812d8db3a72ba51d362c16c389.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/096fdb699e6521812d8db3a72ba51d362c16c389.webm
{},{},20,2026-06-14 14:31:20,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:21,AnimalTrial,4,4,,True,4,8,8,animals,"{""animal"": ""dogs"", ""text_color"": ""blue"", ""recording_hash"": ""3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb"", ""recording_object_key"": ""streaming-static-trials/3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb.webm""}",True,False,1.0,0.01,,very_much,True,35,,,6.0,26.0,32.0,6.0,0.3561643835616438,0.4383561643835616,False,False,False,False,1,A,AnimalTrial,Info,dogs,blue,3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb,streaming-static-trials/3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb.webm
{},{},21,2026-06-14 14:31:21,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:21,AnimalTrial,6,6,,True,6,8,8,animals,"{""animal"": ""dogs"", ""text_color"": ""red"", ""recording_hash"": ""7839dd0d41a5d327f36fa3e4b916458ae70d3f71"", ""recording_object_key"": ""streaming-static-trials/7839dd0d41a5d327f36fa3e4b916458ae70d3f71.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/7839dd0d41a5d327f36fa3e4b916458ae70d3f71.webm""}",True,False,0.0,0.0,,not_at_all,True,37,,,6.0,32.0,38.0,6.0,0.4383561643835616,0.5205479452054794,False,False,False,False,2,C,AnimalTrial,Info,dogs,red,7839dd0d41a5d327f36fa3e4b916458ae70d3f71,streaming-static-trials/7839dd0d41a5d327f36fa3e4b916458ae70d3f71.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/7839dd0d41a5d327f36fa3e4b916458ae70d3f71.webm
{},{},22,2026-06-14 14:31:21,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,AnimalTrial,11,11,,True,11,9,9,animals,"{""animal"": ""ponies"", ""text_color"": ""green"", ""recording_hash"": ""1a404e67ee14bb8fae405a54af11a03d8e63eb20"", ""recording_object_key"": ""streaming-static-trials/1a404e67ee14bb8fae405a54af11a03d8e63eb20.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/1a404e67ee14bb8fae405a54af11a03d8e63eb20.webm""}",True,False,1.0,0.01,,a_little,True,39,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,B,AnimalTrial,Info,ponies,green,1a404e67ee14bb8fae405a54af11a03d8e63eb20,streaming-static-trials/1a404e67ee14bb8fae405a54af11a03d8e63eb20.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/1a404e67ee14bb8fae405a54af11a03d8e63eb20.webm
{},{},23,2026-06-14 14:31:21,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,AnimalTrial,2,2,,True,2,9,9,animals,"{""animal"": ""cats"", ""text_color"": ""red"", ""recording_hash"": ""044e078d8eb510a39a5b908cff73b275b9e61791"", ""recording_object_key"": ""streaming-static-trials/044e078d8eb510a39a5b908cff73b275b9e61791.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/044e078d8eb510a39a5b908cff73b275b9e61791.webm""}",True,False,1.0,0.01,,very_much,True,40,,,6.0,14.0,20.0,6.0,0.1917808219178082,0.273972602739726,False,False,False,False,0,B,AnimalTrial,Info,cats,red,044e078d8eb510a39a5b908cff73b275b9e61791,streaming-static-trials/044e078d8eb510a39a5b908cff73b275b9e61791.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/044e078d8eb510a39a5b908cff73b275b9e61791.webm
{},{},24,2026-06-14 14:31:21,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,AnimalTrial,1,1,,True,1,9,9,animals,"{""animal"": ""cats"", ""text_color"": ""green"", ""recording_hash"": ""d8806472b7eb7dd88f71665994d8442ba798a3c0"", ""recording_object_key"": ""streaming-static-trials/d8806472b7eb7dd88f71665994d8442ba798a3c0.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d8806472b7eb7dd88f71665994d8442ba798a3c0.webm""}",True,False,1.0,0.01,,a_little,True,41,,,6.0,20.0,26.0,6.0,0.273972602739726,0.3561643835616438,False,False,False,False,1,A,AnimalTrial,Info,cats,green,d8806472b7eb7dd88f71665994d8442ba798a3c0,streaming-static-trials/d8806472b7eb7dd88f71665994d8442ba798a3c0.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d8806472b7eb7dd88f71665994d8442ba798a3c0.webm
{},{},25,2026-06-14 14:31:22,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,AnimalTrial,4,4,,True,4,9,9,animals,"{""animal"": ""dogs"", ""text_color"": ""blue"", ""recording_hash"": ""a16094be8fe90213544bf89809a36be2e5339554"", ""recording_object_key"": ""streaming-static-trials/a16094be8fe90213544bf89809a36be2e5339554.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/a16094be8fe90213544bf89809a36be2e5339554.webm""}",True,False,0.0,0.0,,not_at_all,True,43,,,6.0,26.0,32.0,6.0,0.3561643835616438,0.4383561643835616,False,False,False,False,1,A,AnimalTrial,Info,dogs,blue,a16094be8fe90213544bf89809a36be2e5339554,streaming-static-trials/a16094be8fe90213544bf89809a36be2e5339554.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/a16094be8fe90213544bf89809a36be2e5339554.webm
{},{},26,2026-06-14 14:31:22,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,AnimalTrial,7,7,,True,7,10,10,animals,"{""animal"": ""fish"", ""text_color"": ""blue"", ""recording_hash"": ""d7d7408b046a95ea7f44a9b3a7347f763a4c7463"", ""recording_object_key"": ""streaming-static-trials/d7d7408b046a95ea7f44a9b3a7347f763a4c7463.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d7d7408b046a95ea7f44a9b3a7347f763a4c7463.webm""}",True,False,1.0,0.01,,very_much,True,45,,,6.0,8.0,14.0,6.0,0.1095890410958904,0.1917808219178082,False,False,False,False,0,A,AnimalTrial,Info,fish,blue,d7d7408b046a95ea7f44a9b3a7347f763a4c7463,streaming-static-trials/d7d7408b046a95ea7f44a9b3a7347f763a4c7463.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d7d7408b046a95ea7f44a9b3a7347f763a4c7463.webm
{},{},27,2026-06-14 14:31:22,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,AnimalTrial,1,1,,True,1,10,10,animals,"{""animal"": ""cats"", ""text_color"": ""blue"", ""recording_hash"": ""2ae32d9a837c15d93afef08f8b10e8fd1bc6356b"", ""recording_object_key"": ""streaming-static-trials/2ae32d9a837c15d93afef08f8b10e8fd1bc6356b.webm"", ""recording_object_url"": ""https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/2ae32d9a837c15d93afef08f8b10e8fd1bc6356b.webm""}",True,False,0.0,0.0,,not_at_all,True,47,,,6.0,14.0,20.0,6.0,0.1917808219178082,0.273972602739726,False,False,False,False,0,A,AnimalTrial,Info,cats,blue,2ae32d9a837c15d93afef08f8b10e8fd1bc6356b,streaming-static-trials/2ae32d9a837c15d93afef08f8b10e8fd1bc6356b.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/2ae32d9a837c15d93afef08f8b10e8fd1bc6356b.webm
