vars,creation_time,local_key,trial_id,asset_id,type,class,object_type
{},2026-06-15 09:30:30,async_post_trial,47,47,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:30,async_post_trial,48,48,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:30,async_post_trial,49,49,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:31,async_post_trial,50,50,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:32,async_post_trial,51,51,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:32,async_post_trial,52,52,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:32,async_post_trial,53,53,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:32,async_post_trial,54,54,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:32,async_post_trial,55,55,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:32,async_post_trial,56,56,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:33,async_post_trial,57,57,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:34,async_post_trial,58,58,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:34,async_post_trial,59,59,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:34,async_post_trial,60,60,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:34,async_post_trial,61,61,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:34,async_post_trial,62,62,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:34,async_post_trial,63,63,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:35,async_post_trial,64,64,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:36,async_post_trial,65,65,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:36,async_post_trial,66,66,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:36,async_post_trial,67,67,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:36,async_post_trial,68,68,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:36,async_post_trial,69,69,AssetTrial,AssetTrial,AssetTrial
{},2026-06-15 09:30:36,async_post_trial,70,70,AssetTrial,AssetTrial,AssetTrial
