id,participant_id,animal,block,answer_choice,answer_choice_label,answer_recording_hash,definition_recording_hash,recording_object_key,recording_object_url,upload_status,upload_http_status,bytes_streamed,chunks_streamed,recording_started_at,recording_stopped_at,recording_error_code,recording_error_message,score
13,6,dogs,C,a_little,A little,,99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd,streaming-static-trials/99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/99ab4b7a4c5390567dca50aca2a7ab1eac4eb7bd.webm,,,,,,,,,1.0
21,8,dogs,C,not_at_all,Not at all,,7839dd0d41a5d327f36fa3e4b916458ae70d3f71,streaming-static-trials/7839dd0d41a5d327f36fa3e4b916458ae70d3f71.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/7839dd0d41a5d327f36fa3e4b916458ae70d3f71.webm,,,,,,,,,0.0
16,7,ponies,B,not_at_all,Not at all,,ad13fe406d9aefdcc34b5df6756d918360e42150,streaming-static-trials/ad13fe406d9aefdcc34b5df6756d918360e42150.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/ad13fe406d9aefdcc34b5df6756d918360e42150.webm,,,,,,,,,0.0
10,6,cats,A,a_little,A little,,8a1a3fd3c471ea9161f3c76ab7212133a37f4097,streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm,,,,,,,,,1.0
15,6,cats,C,not_at_all,Not at all,,8a1a3fd3c471ea9161f3c76ab7212133a37f4097,streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/8a1a3fd3c471ea9161f3c76ab7212133a37f4097.webm,,,,,,,,,0.0
22,9,ponies,B,a_little,A little,,1a404e67ee14bb8fae405a54af11a03d8e63eb20,streaming-static-trials/1a404e67ee14bb8fae405a54af11a03d8e63eb20.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/1a404e67ee14bb8fae405a54af11a03d8e63eb20.webm,,,,,,,,,1.0
19,8,ponies,A,very_much,Very much,,096fdb699e6521812d8db3a72ba51d362c16c389,streaming-static-trials/096fdb699e6521812d8db3a72ba51d362c16c389.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/096fdb699e6521812d8db3a72ba51d362c16c389.webm,,,,,,,,,1.0
20,8,dogs,A,very_much,Very much,,3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb,streaming-static-trials/3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/3e09b521ebdf6fc2ab805a047c477bd9a30d2ceb.webm,,,,,,,,,1.0
24,9,cats,A,a_little,A little,,d8806472b7eb7dd88f71665994d8442ba798a3c0,streaming-static-trials/d8806472b7eb7dd88f71665994d8442ba798a3c0.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d8806472b7eb7dd88f71665994d8442ba798a3c0.webm,,,,,,,,,1.0
25,9,dogs,A,not_at_all,Not at all,,a16094be8fe90213544bf89809a36be2e5339554,streaming-static-trials/a16094be8fe90213544bf89809a36be2e5339554.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/a16094be8fe90213544bf89809a36be2e5339554.webm,,,,,,,,,0.0
23,9,cats,B,very_much,Very much,,044e078d8eb510a39a5b908cff73b275b9e61791,streaming-static-trials/044e078d8eb510a39a5b908cff73b275b9e61791.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/044e078d8eb510a39a5b908cff73b275b9e61791.webm,,,,,,,,,1.0
26,10,fish,A,very_much,Very much,,d7d7408b046a95ea7f44a9b3a7347f763a4c7463,streaming-static-trials/d7d7408b046a95ea7f44a9b3a7347f763a4c7463.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/d7d7408b046a95ea7f44a9b3a7347f763a4c7463.webm,,,,,,,,,1.0
27,10,cats,A,not_at_all,Not at all,,2ae32d9a837c15d93afef08f8b10e8fd1bc6356b,streaming-static-trials/2ae32d9a837c15d93afef08f8b10e8fd1bc6356b.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/2ae32d9a837c15d93afef08f8b10e8fd1bc6356b.webm,,,,,,,,,0.0
28,11,fish,C,a_little,A little,,f1a89e7393b7e73ffda4c765602fb691606b99df,streaming-static-trials/f1a89e7393b7e73ffda4c765602fb691606b99df.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/f1a89e7393b7e73ffda4c765602fb691606b99df.webm,,,,,,,,,1.0
29,11,cats,C,a_little,A little,,e80739150c0b3c9a3b81602c8261ea28c92a7e33,streaming-static-trials/e80739150c0b3c9a3b81602c8261ea28c92a7e33.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/e80739150c0b3c9a3b81602c8261ea28c92a7e33.webm,,,,,,,,,1.0
30,11,ponies,A,a_little,A little,,85cb4762ad763eb864cae68609cecd237614820f,streaming-static-trials/85cb4762ad763eb864cae68609cecd237614820f.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/85cb4762ad763eb864cae68609cecd237614820f.webm,,,,,,,,,1.0
33,11,fish,B,not_at_all,Not at all,,c46f081c13c6569b3b028bad52e38a685286068a,streaming-static-trials/c46f081c13c6569b3b028bad52e38a685286068a.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/c46f081c13c6569b3b028bad52e38a685286068a.webm,,,,,,,,,0.0
31,11,dogs,A,a_little,A little,,370b9b1ec64afa0acad52862ccfda91ff5a8f07f,streaming-static-trials/370b9b1ec64afa0acad52862ccfda91ff5a8f07f.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/370b9b1ec64afa0acad52862ccfda91ff5a8f07f.webm,,,,,,,,,1.0
32,11,dogs,B,very_much,Very much,,95195643b8641c4516a0f9d0951eacb0e9e8acbc,streaming-static-trials/95195643b8641c4516a0f9d0951eacb0e9e8acbc.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/95195643b8641c4516a0f9d0951eacb0e9e8acbc.webm,,,,,,,,,1.0
35,12,dogs,B,not_at_all,Not at all,,715d874c7e4a69e7d295e19eb276572e2b61635f,streaming-static-trials/715d874c7e4a69e7d295e19eb276572e2b61635f.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/715d874c7e4a69e7d295e19eb276572e2b61635f.webm,,,,,,,,,0.0
34,12,cats,B,very_much,Very much,,6c48d7e3c68eb2d9826ab8d140f27148e8dc8cba,streaming-static-trials/6c48d7e3c68eb2d9826ab8d140f27148e8dc8cba.webm,https://video-recording-test-292651677991.s3.amazonaws.com/streaming-static-trials/6c48d7e3c68eb2d9826ab8d140f27148e8dc8cba.webm,,,,,,,,,1.0
